aX,aY,aZ,gX,gY,gZ,Angle1,Angle2,Angle3,Angle4,Angle5
1.687,-172,-359,-20.447,9.155,-34.546,5.0,17.0,17.0,37.0,9.0
1.688,-211,-385,-1.648,6.165,-7.263,6.0,17.0,18.0,37.0,9.0
1.609,-216,-360,14.709,6.226,20.996,5.0,17.0,18.0,37.0,8.0
1.313,-173,-284,24.231,5.005,38.025,5.0,16.0,18.0,36.0,9.0
964,-86,-223,27.588,6.714,42.236,5.0,17.0,18.0,38.0,9.0
653,-9,-163,34.058,15.564,44.800,6.0,17.0,18.0,37.0,9.0
549,14,-120,36.255,27.466,37.781,5.0,17.0,19.0,37.0,7.0
486,20,-16,24.841,26.062,19.714,6.0,17.0,18.0,37.0,8.0
542,7,40,13.428,17.822,7.080,6.0,17.0,19.0,36.0,8.0
672,26,-2,-13.489,-4.150,-18.066,6.0,16.0,18.0,37.0,9.0
862,18,-114,-28.870,-16.663,-33.264,6.0,17.0,19.0,37.0,8.0
980,1,-181,-31.067,-10.315,-32.410,5.0,17.0,18.0,36.0,7.0
1.157,7,-343,-21.057,8.362,-19.714,5.0,17.0,17.0,37.0,8.0
1.241,22,-431,-8.362,18.494,-12.146,5.0,17.0,18.0,37.0,7.0
1.257,-49,-352,20.752,27.771,183,5.0,17.0,19.0,36.0,8.0
1.238,-89,-273,31.006,18.005,6.042,5.0,17.0,19.0,36.0,8.0
1.155,-131,-131,20.569,-6.226,6.958,6.0,17.0,18.0,38.0,9.0
991,-116,-89,12.390,-16.968,5.798,5.0,17.0,18.0,36.0,9.0
888,-62,-99,-732,-22.400,2.991,6.0,17.0,19.0,36.0,8.0
834,-12,-123,-4.517,-11.414,3.601,5.0,17.0,18.0,36.0,9.0
835,-2,-123,-549,4.944,4.883,5.0,18.0,18.0,37.0,9.0
873,-13,-92,1.709,9.949,4.517,5.0,18.0,17.0,37.0,9.0
929,-51,-60,2.625,10.315,1.343,6.0,16.0,17.0,38.0,8.0
1.000,-72,-46,-4.700,4.272,-1.526,6.0,17.0,18.0,36.0,9.0
1.005,-63,-60,-14.893,-2.808,-1.770,6.0,17.0,19.0,37.0,8.0
963,-31,-105,-17.517,-1.221,-427,6.0,17.0,19.0,37.0,8.0
922,-10,-122,-15.747,3.784,793,6.0,17.0,18.0,36.0,8.0
931,-22,-118,-10.742,17.822,3.357,5.0,17.0,18.0,36.0,8.0
1.019,-56,-116,-9.888,27.710,4.822,6.0,17.0,19.0,37.0,9.0
1.054,-71,-127,-13.306,21.851,3.662,5.0,17.0,18.0,36.0,8.0
1.088,-83,-140,-19.470,6.958,2.075,5.0,17.0,18.0,38.0,7.0
1.038,-57,-166,-23.437,977,1.953,6.0,17.0,18.0,36.0,8.0
982,-9,-214,-27.100,0,2.075,6.0,17.0,17.0,36.0,8.0
