aX,aY,aZ,gX,gY,gZ,Angle1,Angle2,Angle3,Angle4,Angle5
0.541,-0.215,1.557,31.738,-7.629,5.493,0.0,0.0,5.0,4.0,0.0
0.553,-0.220,1.521,-11.414,29.602,24.292,0.0,0.0,3.0,5.0,0.0
0.546,-0.152,1.419,-59.021,62.927,38.757,0.0,0.0,2.0,5.0,0.0
0.492,0.014,1.115,-84.900,79.346,48.523,0.0,0.0,3.0,6.0,0.0
0.436,0.154,0.816,-85.876,79.529,48.950,0.0,1.0,2.0,5.0,0.0
0.374,0.233,0.559,-68.909,63.110,40.833,0.0,0.0,2.0,5.0,0.0
0.351,0.243,0.454,-46.631,34.119,28.137,0.0,1.0,2.0,6.0,0.0
0.348,0.269,0.335,-27.283,2.747,15.747,0.0,0.0,2.0,4.0,0.0
0.333,0.291,0.298,-16.174,-11.597,9.827,0.0,1.0,2.0,4.0,0.0
0.327,0.294,0.303,7.202,-35.828,-1.099,0.0,0.0,3.0,5.0,0.0
0.300,0.304,0.385,29.236,-52.185,-5.798,0.0,1.0,2.0,4.0,0.0
0.245,0.280,0.583,40.405,-54.626,-6.958,0.0,0.0,2.0,5.0,0.0
0.319,0.148,0.915,63.660,-48.523,-15.503,0.0,1.0,2.0,5.0,0.0
0.397,0.065,1.086,74.097,-41.260,-25.696,0.0,0.0,2.0,5.0,0.0
0.519,-0.075,1.358,68.665,-37.781,-25.085,0.0,0.0,3.0,5.0,0.0
0.495,-0.119,1.446,36.438,-23.987,-9.277,0.0,1.0,2.0,6.0,0.0
0.436,-0.050,1.379,-6.104,8.179,12.268,0.0,0.0,3.0,4.0,0.0
0.426,0.004,1.301,-36.499,46.326,23.743,0.0,0.0,2.0,6.0,0.0
0.419,0.111,1.098,-45.349,73.975,24.109,0.0,1.0,3.0,5.0,0.0
0.363,0.190,0.883,-43.213,84.351,23.376,0.0,0.0,3.0,5.0,0.0
0.277,0.228,0.703,-32.043,111.389,24.109,0.0,0.0,2.0,5.0,0.0
0.284,0.229,0.659,-16.235,152.039,24.963,0.0,0.0,2.0,5.0,0.0
0.359,0.180,0.623,-3.357,191.711,24.353,0.0,0.0,2.0,5.0,0.0
0.475,0.118,0.615,-1.282,207.703,22.644,0.0,1.0,2.0,5.0,0.0
0.666,0.158,0.654,-4.700,222.900,13.245,0.0,0.0,2.0,5.0,0.0
0.738,0.195,0.669,-3.906,205.139,3.540,0.0,1.0,2.0,5.0,0.0
0.816,0.199,0.651,0.671,164.612,2.380,0.0,0.0,2.0,4.0,0.0
0.797,0.153,0.606,-1.587,143.188,2.991,0.0,0.0,3.0,4.0,0.0
0.718,0.161,0.557,-16.113,112.549,5.981,0.0,0.0,2.0,5.0,0.0
0.633,0.214,0.502,-30.640,110.474,10.071,0.0,0.0,1.0,5.0,0.0
0.638,0.236,0.480,-30.701,133.850,4.028,0.0,0.0,1.0,6.0,0.0
0.734,0.241,0.442,-25.940,147.339,-3.540,0.0,1.0,2.0,5.0,0.0
0.911,0.208,0.431,-15.808,161.194,-20.203,0.0,0.0,1.0,4.0,0.0
