aX,aY,aZ,gX,gY,gZ,Angle1,Angle2,Angle3,Angle4,Angle5
620,165,-1.450,-44.800,38.574,-8.606,2.0,4.0,4.0,11.0,0.0
630,71,-1.445,7.324,2.380,-1.892,2.0,4.0,3.0,11.0,0.0
575,84,-1.376,39.551,-35.034,610,2.0,3.0,5.0,11.0,0.0
490,160,-1.145,61.340,-45.532,6.775,2.0,4.0,5.0,11.0,0.0
539,140,-794,66.589,-46.509,10.071,2.0,3.0,5.0,12.0,0.0
514,130,-522,56.702,-53.772,13.611,3.0,4.0,4.0,11.0,0.0
454,142,-445,27.771,-51.514,13.000,2.0,3.0,4.0,13.0,0.0
315,180,-415,10.864,-40.405,11.230,2.0,3.0,4.0,12.0,0.0
286,175,-512,-20.752,-2.197,5.371,2.0,4.0,4.0,12.0,0.0
357,142,-711,-45.227,31.433,2.075,2.0,4.0,4.0,12.0,0.0
375,148,-850,-52.429,41.199,-244,2.0,3.0,4.0,13.0,0.0
399,151,-1.101,-33.691,37.292,-4.150,3.0,4.0,4.0,14.0,0.0
435,142,-1.216,-18.005,32.898,-6.470,2.0,4.0,4.0,12.0,0.0
458,134,-1.187,15.381,24.414,-10.315,2.0,3.0,4.0,11.0,0.0
462,146,-1.151,45.837,23.987,-9.216,2.0,4.0,4.0,12.0,0.0
541,114,-1.028,71.533,31.616,2.441,2.0,3.0,4.0,11.0,0.0
641,60,-856,77.576,30.029,9.155,2.0,4.0,4.0,12.0,0.0
617,91,-772,82.581,16.968,21.545,2.0,3.0,4.0,11.0,0.0
572,73,-737,87.280,6.897,34.668,2.0,4.0,4.0,11.0,0.0
568,40,-715,82.886,1.648,50.720,2.0,3.0,5.0,10.0,0.0
551,-84,-628,55.969,-9.277,58.228,1.0,3.0,3.0,9.0,0.0
482,-37,-616,35.095,-16.418,60.242,1.0,2.0,3.0,7.0,0.0
378,97,-700,-1.221,-26.794,64.209,0.0,2.0,2.0,7.0,0.0
318,197,-703,-18.921,-14.343,64.026,0.0,1.0,2.0,5.0,0.0
321,230,-733,-26.978,-3.540,62.683,0.0,0.0,2.0,4.0,0.0
366,250,-782,-27.527,-3.906,62.378,0.0,1.0,1.0,4.0,0.0
