aX,aY,aZ,gX,gY,gZ,Angle1,Angle2,Angle3,Angle4,Angle5
0.713,-0.185,-1.290,-5.676,36.377,-26.245,0.0,6.0,7.0,21.0,0.0
0.680,-0.213,-1.311,13.489,28.503,8.362,0.0,5.0,7.0,21.0,0.0
0.563,-0.204,-1.298,32.043,22.522,38.086,0.0,6.0,6.0,23.0,0.0
0.263,-0.188,-1.187,42.664,22.827,50.110,0.0,6.0,6.0,21.0,0.0
-0.097,-0.158,-1.029,57.617,18.616,64.636,0.0,5.0,6.0,21.0,0.0
-0.329,-0.128,-0.944,62.500,10.376,65.308,0.0,5.0,7.0,21.0,0.0
-0.771,-0.167,-0.781,60.486,5.066,52.124,0.0,6.0,7.0,21.0,0.0
-1.047,-0.282,-0.641,52.673,1.221,36.377,0.0,5.0,6.0,21.0,0.0
-1.080,-0.326,-0.593,24.475,-8.057,-9.888,0.0,5.0,7.0,20.0,0.0
-0.797,-0.355,-0.682,-8.789,-13.794,-53.528,0.0,5.0,6.0,21.0,0.0
-0.589,-0.347,-0.781,-36.255,-11.597,-84.717,0.0,5.0,7.0,20.0,0.0
-0.061,-0.266,-0.985,-42.053,8.118,-94.788,0.0,5.0,6.0,20.0,0.0
0.504,-0.171,-1.111,-36.682,17.639,-89.600,0.0,6.0,7.0,20.0,0.0
0.811,-0.099,-1.218,-15.503,21.790,-60.059,0.0,5.0,6.0,20.0,0.0
0.792,-0.118,-1.280,11.963,10.010,-17.822,0.0,5.0,7.0,21.0,0.0
0.698,-0.125,-1.285,27.161,1.831,20.813,0.0,5.0,7.0,19.0,0.0
0.408,-0.080,-1.250,35.095,6.836,50.110,0.0,5.0,6.0,20.0,0.0
0.079,-0.037,-1.101,41.626,12.207,61.768,0.0,6.0,6.0,20.0,0.0
-0.295,-0.088,-0.904,50.110,11.719,75.073,0.0,4.0,7.0,19.0,0.0
-0.517,-0.115,-0.841,42.236,1.465,68.420,0.0,5.0,6.0,19.0,0.0
-0.892,-0.153,-0.765,30.273,2.563,41.260,0.0,5.0,7.0,19.0,0.0
-1.009,-0.197,-0.686,23.621,4.944,22.278,0.0,5.0,7.0,21.0,0.0
-0.927,-0.192,-0.667,3.784,6.287,-15.869,0.0,5.0,6.0,19.0,0.0
-0.806,-0.193,-0.678,-14.954,2.991,-42.969,0.0,5.0,6.0,18.0,0.0
-0.501,-0.241,-0.750,-31.250,-5.432,-62.256,0.0,5.0,7.0,19.0,0.0
-0.174,-0.237,-0.890,-39.185,-6.348,-68.726,0.0,5.0,6.0,19.0,0.0
0.165,-0.195,-1.049,-47.058,1.953,-71.167,0.0,5.0,6.0,18.0,0.0
0.466,-0.186,-1.184,-40.649,14.771,-59.204,0.0,5.0,6.0,20.0,0.0
0.565,-0.184,-1.240,-27.710,15.930,-36.621,0.0,5.0,7.0,18.0,0.0
0.631,-0.130,-1.313,-9.583,11.230,-3.967,0.0,5.0,6.0,18.0,0.0
0.561,-0.124,-1.302,1.709,8.667,13.611,0.0,4.0,6.0,19.0,0.0
0.332,-0.124,-1.224,18.555,2.686,43.579,0.0,4.0,6.0,18.0,0.0
0.180,-0.108,-1.167,30.884,1.587,63.599,0.0,5.0,6.0,19.0,0.0
-0.130,-0.105,-1.040,40.955,1.648,71.167,0.0,5.0,6.0,19.0,0.0
-0.443,-0.114,-0.932,41.626,1.465,69.580,0.0,5.0,6.0,19.0,0.0
-0.733,-0.086,-0.843,36.682,2.869,57.434,0.0,5.0,7.0,20.0,0.0
-0.834,-0.089,-0.797,28.259,7.019,36.072,0.0,4.0,6.0,19.0,0.0
-0.932,-0.110,-0.710,13.367,8.484,9.033,0.0,5.0,6.0,18.0,0.0
-0.854,-0.125,-0.667,4.517,4.761,-4.639,0.0,5.0,6.0,18.0,0.0
-0.729,-0.167,-0.724,-12.512,-9.766,-33.142,0.0,5.0,6.0,19.0,0.0
-0.647,-0.195,-0.776,-26.611,-12.024,-58.228,0.0,5.0,6.0,18.0,0.0
-0.358,-0.248,-0.881,-37.231,-0.244,-72.205,0.0,5.0,6.0,17.0,0.0
0.009,-0.236,-1.001,-40.405,6.653,-74.524,0.0,4.0,6.0,18.0,0.0
0.312,-0.208,-1.149,-37.231,8.728,-71.228,0.0,5.0,6.0,18.0,0.0
0.533,-0.181,-1.246,-25.208,8.545,-54.626,0.0,5.0,6.0,19.0,0.0
0.588,-0.162,-1.280,-9.583,3.113,-25.085,0.0,4.0,6.0,18.0,0.0
0.573,-0.150,-1.309,8.545,-0.549,9.216,0.0,4.0,6.0,19.0,0.0
0.434,-0.166,-1.286,16.418,0.244,24.048,0.0,5.0,6.0,19.0,0.0
0.230,-0.124,-1.211,29.175,4.333,46.143,0.0,5.0,6.0,19.0,0.0
0.001,-0.093,-1.085,44.434,9.277,61.401,0.0,5.0,6.0,19.0,0.0
-0.128,-0.098,-1.009,52.490,6.592,69.336,0.0,4.0,6.0,19.0,0.0
-0.437,-0.106,-0.889,50.720,2.869,69.397,0.0,5.0,7.0,18.0,0.0
-0.708,-0.100,-0.793,41.809,-0.366,59.143,0.0,5.0,6.0,17.0,0.0
-0.806,-0.091,-0.747,30.884,0.061,35.278,0.0,4.0,6.0,19.0,0.0
-0.907,-0.073,-0.675,18.250,-1.099,12.146,0.0,5.0,6.0,18.0,0.0
-0.876,-0.110,-0.647,10.315,-5.615,0.244,0.0,5.0,6.0,17.0,0.0
-0.772,-0.121,-0.696,-8.789,-12.634,-27.222,0.0,6.0,6.0,18.0,0.0
-0.517,-0.137,-0.781,-25.269,-7.141,-53.040,0.0,4.0,6.0,17.0,0.0
-0.357,-0.147,-0.838,-38.940,-0.305,-70.618,0.0,4.0,7.0,17.0,0.0
-0.039,-0.133,-0.982,-44.556,2.441,-74.463,0.0,4.0,6.0,16.0,0.0
0.256,-0.120,-1.128,-47.119,8.240,-67.627,0.0,4.0,6.0,19.0,0.0
0.379,-0.138,-1.194,-37.292,9.216,-48.401,0.0,4.0,6.0,19.0,0.0
0.518,-0.170,-1.308,-22.278,4.211,-25.513,0.0,4.0,6.0,19.0,0.0
0.521,-0.159,-1.356,-12.512,2.441,-12.207,0.0,4.0,6.0,19.0,0.0
0.417,-0.171,-1.329,9.583,1.465,15.320,0.0,4.0,6.0,20.0,0.0
0.329,-0.174,-1.293,27.527,1.160,36.621,0.0,4.0,6.0,18.0,0.0
0.104,-0.144,-1.183,42.053,0.916,49.255,0.0,4.0,6.0,18.0,0.0
-0.152,-0.125,-1.035,47.302,-0.305,53.040,0.0,4.0,6.0,18.0,0.0
-0.446,-0.100,-0.920,48.157,-5.249,54.687,0.0,4.0,5.0,19.0,0.0
-0.657,-0.060,-0.819,42.114,-4.272,46.265,0.0,4.0,6.0,18.0,0.0

0.766,-0.103,-1.313,-45.776,11.658,-48.035,0.0,4.0,5.0,16.0,0.0
0.730,-0.084,-1.384,-21.851,7.629,-13.123,0.0,4.0,6.0,17.0,0.0
0.538,-0.089,-1.333,1.831,6.104,22.827,0.0,4.0,5.0,18.0,0.0
0.388,-0.087,-1.269,20.996,5.188,52.795,0.0,3.0,6.0,16.0,0.0
-0.003,-0.108,-1.117,34.363,1.831,70.068,0.0,4.0,6.0,16.0,0.0
-0.423,-0.100,-0.989,36.316,1.526,73.425,0.0,3.0,6.0,17.0,0.0
-0.734,-0.088,-0.861,35.217,1.831,65.063,0.0,4.0,5.0,16.0,0.0
-0.894,-0.082,-0.750,27.161,-4.089,36.133,0.0,4.0,6.0,16.0,0.0
-0.906,-0.063,-0.715,11.475,-8.728,0.610,0.0,3.0,5.0,18.0,0.0
-0.841,-0.039,-0.708,2.625,-7.568,-15.747,0.0,4.0,5.0,17.0,0.0
-0.585,-0.085,-0.745,-16.357,0.244,-39.185,0.0,4.0,6.0,17.0,0.0
-0.269,-0.153,-0.829,-34.302,-0.488,-56.763,0.0,4.0,6.0,16.0,0.0
-0.125,-0.170,-0.904,-46.326,-1.282,-65.430,0.0,3.0,5.0,15.0,0.0
0.186,-0.190,-1.066,-46.326,8.789,-59.204,0.0,4.0,5.0,15.0,0.0
0.468,-0.182,-1.196,-42.053,13.245,-50.415,0.0,4.0,5.0,16.0,0.0
0.577,-0.128,-1.283,-26.001,13.489,-25.085,0.0,3.0,6.0,16.0,0.0
0.509,-0.109,-1.289,-4.272,7.507,6.653,0.0,4.0,5.0,16.0,0.0
0.421,-0.112,-1.273,12.085,-0.671,34.607,0.0,3.0,5.0,15.0,0.0
0.154,-0.079,-1.216,24.780,-2.197,52.246,0.0,4.0,5.0,15.0,0.0
-0.122,-0.053,-1.097,31.189,-0.122,57.922,0.0,3.0,5.0,15.0,0.0
-0.404,-0.035,-0.965,37.170,2.258,63.049,0.0,4.0,6.0,16.0,0.0
-0.556,-0.020,-0.907,37.292,-1.160,54.077,0.0,3.0,5.0,15.0,0.0
-0.799,-0.037,-0.801,31.311,-4.395,32.288,0.0,3.0,6.0,15.0,0.0
-0.889,-0.075,-0.706,23.804,-6.042,18.677,0.0,3.0,5.0,16.0,0.0
-0.859,-0.093,-0.698,1.770,-10.010,-12.146,0.0,3.0,6.0,16.0,0.0
-0.665,-0.111,-0.772,-19.287,-6.165,-41.199,0.0,3.0,5.0,16.0,0.0
-0.322,-0.171,-0.867,-32.043,0.488,-63.232,0.0,3.0,5.0,14.0,0.0
-0.140,-0.186,-0.931,-40.405,4.395,-73.608,0.0,3.0,6.0,15.0,0.0
0.198,-0.195,-1.072,-41.260,6.287,-72.327,0.0,4.0,6.0,15.0,0.0
0.443,-0.187,-1.196,-35.828,8.911,-55.786,0.0,4.0,5.0,16.0,0.0
0.510,-0.179,-1.246,-22.156,7.080,-28.137,0.0,3.0,6.0,15.0,0.0
0.533,-0.160,-1.316,-4.089,4.700,-0.366,0.0,3.0,5.0,16.0,0.0
0.441,-0.118,-1.306,4.944,4.211,13.184,0.0,3.0,5.0,15.0,0.0
0.243,-0.094,-1.229,22.644,1.953,36.987,0.0,3.0,6.0,15.0,0.0
-0.041,-0.066,-1.116,37.170,-0.122,51.514,0.0,3.0,6.0,16.0,0.0
-0.177,-0.054,-1.051,47.180,0.793,58.289,0.0,3.0,6.0,15.0,0.0
-0.430,-0.044,-0.921,48.645,-0.366,56.030,0.0,3.0,5.0,15.0,0.0
-0.648,-0.044,-0.809,45.044,-2.258,50.903,0.0,3.0,6.0,14.0,0.0
-0.787,-0.025,-0.732,32.410,-4.272,32.715,0.0,4.0,6.0,15.0,0.0
-0.832,-0.019,-0.685,18.127,-4.761,6.287,0.0,3.0,5.0,15.0,0.0
-0.817,-0.031,-0.677,1.892,-1.709,-22.217,0.0,3.0,5.0,15.0,0.0
-0.668,-0.069,-0.703,-7.874,0.244,-34.668,0.0,3.0,5.0,14.0,0.0
-0.443,-0.107,-0.795,-26.489,0.061,-56.641,0.0,3.0,6.0,14.0,0.0
-0.174,-0.152,-0.927,-38.513,2.136,-71.228,0.0,3.0,5.0,14.0,0.0
-0.021,-0.174,-0.997,-44.495,7.507,-74.463,0.0,3.0,5.0,15.0,0.0
0.286,-0.184,-1.145,-41.260,10.437,-62.012,0.0,3.0,5.0,15.0,0.0
0.528,-0.179,-1.280,-34.790,10.132,-50.476,0.0,3.0,5.0,16.0,0.0
0.613,-0.157,-1.371,-14.954,6.409,-20.325,0.0,3.0,5.0,16.0,0.0
0.592,-0.143,-1.386,9.644,1.099,12.024,0.0,3.0,6.0,15.0,0.0
0.444,-0.121,-1.345,31.067,-2.930,38.391,0.0,3.0,5.0,15.0,0.0
0.173,-0.075,-1.236,39.368,-3.906,49.255,0.0,3.0,5.0,15.0,0.0
-0.140,-0.030,-1.067,52.917,-3.113,66.650,0.0,3.0,5.0,15.0,0.0
-0.459,-0.021,-0.897,59.326,-3.967,72.632,0.0,4.0,5.0,13.0,0.0
-0.608,-0.022,-0.824,54.504,-7.080,62.073,0.0,3.0,5.0,15.0,0.0
-0.830,-0.017,-0.710,39.490,-8.179,37.170,0.0,3.0,6.0,15.0,0.0
-0.920,0.011,-0.642,29.541,-6.531,22.156,0.0,3.0,5.0,16.0,0.0
-0.892,0.047,-0.617,10.925,-1.404,-9.338,0.0,3.0,5.0,16.0,0.0
-0.822,0.041,-0.624,-4.822,3.784,-37.109,0.0,3.0,4.0,16.0,0.0
-0.583,-0.043,-0.675,-25.757,-2.747,-60.730,0.0,3.0,5.0,15.0,0.0
-0.340,-0.093,-0.805,-38.330,-5.859,-68.665,0.0,3.0,6.0,15.0,0.0
-0.074,-0.103,-0.978,-55.298,-0.977,-75.928,0.0,3.0,5.0,16.0,0.0
0.080,-0.117,-1.061,-54.810,12.268,-71.533,0.0,3.0,5.0,16.0,0.0
0.379,-0.153,-1.204,-44.067,16.541,-55.115,0.0,3.0,5.0,15.0,0.0
0.572,-0.163,-1.318,-26.917,10.071,-29.785,0.0,3.0,5.0,15.0,0.0
0.596,-0.139,-1.370,-16.724,5.188,-14.404,0.0,2.0,6.0,15.0,0.0
0.441,-0.107,-1.341,4.211,-2.136,18.555,0.0,3.0,5.0,14.0,0.0
0.176,-0.071,-1.238,23.315,-2.563,43.152,0.0,3.0,5.0,16.0,0.0
0.019,-0.061,-1.161,38.452,0.916,55.725,0.0,3.0,6.0,14.0,0.0
-0.272,-0.070,-0.990,41.931,0.916,60.120,0.0,3.0,5.0,15.0,0.0
-0.519,-0.059,-0.862,38.757,-2.563,57.495,0.0,2.0,5.0,15.0,0.0

0.775,-0.256,-1.472,-39.429,12.939,-37.170,0.0,3.0,5.0,14.0,0.0
0.740,-0.214,-1.493,-8.667,5.127,-0.244,0.0,2.0,5.0,14.0,0.0
0.533,-0.181,-1.390,22.217,-1.221,32.471,0.0,2.0,5.0,15.0,0.0
0.367,-0.143,-1.306,43.457,-7.141,57.129,0.0,3.0,5.0,15.0,0.0
-0.066,-0.047,-1.114,57.251,-8.362,73.975,0.0,2.0,5.0,15.0,0.0
