aX,aY,aZ,gX,gY,gZ,Angle1,Angle2,Angle3,Angle4,Angle5
1.738,-0.382,-0.436,7.629,46.204,-39.063,0.0,0.0,1.0,29.0,0.0
1.626,-0.204,-0.393,17.944,63.721,2.380,0.0,0.0,1.0,28.0,1.0
1.474,-0.126,-0.325,30.518,39.490,47.974,0.0,0.0,1.0,26.0,1.0
1.057,-0.036,-0.227,29.175,-4.822,64.941,0.0,0.0,1.0,29.0,1.0
0.674,0.038,-0.192,23.193,-19.653,58.716,0.0,0.0,1.0,26.0,2.0
0.544,0.101,-0.154,11.230,-24.658,28.809,0.0,0.0,1.0,27.0,1.0
0.612,0.157,-0.102,3.723,-16.785,1.587,0.0,0.0,1.0,26.0,1.0
0.661,0.168,-0.078,1.343,-17.090,-8.179,0.0,0.0,1.0,26.0,1.0
0.764,0.106,-0.048,0.244,-19.653,-8.545,0.0,0.0,1.0,25.0,1.0
0.884,-0.028,-0.084,-7.080,-23.437,-9.521,0.0,0.0,1.0,27.0,1.0
0.946,-0.071,-0.130,-17.883,-18.005,-13.672,0.0,0.0,1.0,27.0,0.0
1.041,-0.067,-0.213,-19.348,-2.930,-9.277,0.0,0.0,1.0,27.0,0.0
1.060,-0.030,-0.234,-16.602,4.211,-2.930,0.0,0.0,1.0,27.0,0.0
0.992,-0.047,-0.234,-9.888,12.939,7.446,0.0,0.0,1.0,26.0,0.0
0.924,-0.043,-0.249,-7.080,20.935,4.822,0.0,0.0,1.0,27.0,2.0
0.908,-0.034,-0.251,-9.827,31.555,1.892,0.0,0.0,1.0,28.0,1.0
0.930,-0.018,-0.235,-13.855,36.194,1.953,0.0,0.0,1.0,27.0,0.0
0.974,0.024,-0.234,-19.592,39.612,1.282,0.0,0.0,1.0,27.0,1.0
0.997,0.001,-0.250,-13.550,37.231,-0.305,0.0,0.0,1.0,27.0,1.0
1.009,-0.027,-0.250,-7.324,34.058,0.305,0.0,0.0,0.0,26.0,1.0
1.022,-0.055,-0.244,-7.751,31.494,2.380,0.0,0.0,1.0,25.0,2.0
1.018,-0.053,-0.248,-13.062,22.766,9.644,0.0,0.0,1.0,27.0,1.0
1.009,-0.041,-0.253,-18.738,11.047,15.198,0.0,0.0,1.0,27.0,0.0
0.983,-0.006,-0.262,-17.944,0.671,15.564,0.0,0.0,1.0,27.0,0.0
0.932,-0.007,-0.285,-15.015,-1.892,14.587,0.0,0.0,1.0,26.0,0.0
0.900,-0.031,-0.270,-7.935,0.977,11.353,0.0,0.0,1.0,27.0,0.0
