aX,aY,aZ,gX,gY,gZ,Angle1,Angle2,Angle3,Angle4,Angle5
0.658,0.780,-0.646,10.620,41.992,-14.709,0.0,0.0,1.0,1.0,0.0
0.906,0.700,-0.422,-1.343,140.869,41.016,0.0,0.0,1.0,0.0,0.0
1.002,0.661,-0.300,-6.104,125.977,51.514,0.0,0.0,1.0,0.0,0.0
0.881,0.625,-0.246,-4.150,72.815,46.448,0.0,0.0,1.0,0.0,0.0
0.430,0.655,-0.453,3.601,-49.744,26.550,0.0,0.0,0.0,0.0,0.0
0.145,0.720,-0.583,13.733,-93.445,-6.104,0.0,0.0,0.0,0.0,0.0
0.291,0.752,-0.499,22.339,-52.246,-30.701,0.0,0.0,0.0,0.0,0.0
0.476,0.740,-0.401,20.630,-0.366,-27.710,0.0,0.0,0.0,0.0,0.0
0.787,0.685,-0.234,14.404,9.949,-18.433,0.0,0.0,1.0,0.0,0.0
0.775,0.664,-0.229,-3.357,6.042,2.747,0.0,0.0,0.0,1.0,0.0
0.605,0.691,-0.292,-15.259,4.883,18.677,0.0,0.0,1.0,0.0,0.0
0.484,0.704,-0.331,-17.090,12.573,26.794,0.0,0.0,1.0,1.0,0.0
0.258,0.704,-0.368,-15.442,21.118,25.330,0.0,0.0,0.0,0.0,0.0
0.268,0.667,-0.311,-14.038,42.603,9.644,0.0,0.0,0.0,1.0,0.0
0.348,0.669,-0.276,-19.897,45.715,-11.963,0.0,0.0,0.0,0.0,0.0
0.507,0.703,-0.274,-20.874,24.841,-26.978,0.0,0.0,1.0,0.0,0.0
0.560,0.750,-0.317,-18.372,13.977,-29.968,0.0,0.0,1.0,1.0,0.0
0.590,0.772,-0.228,-14.587,5.676,-22.339,0.0,0.0,0.0,1.0,0.0
0.557,0.700,-0.054,-21.545,8.728,-3.967,0.0,0.0,0.0,0.0,0.0
0.519,0.660,0.027,-41.321,23.376,5.798,0.0,0.0,1.0,0.0,0.0
0.463,0.614,0.141,-63.843,50.476,3.662,0.0,0.0,1.0,0.0,0.0
0.481,0.502,0.130,-74.707,62.805,0.488,0.0,0.0,1.0,1.0,0.0
0.470,0.382,-0.148,-106.812,78.125,-4.883,0.0,0.0,0.0,0.0,0.0
0.462,0.394,-0.341,-141.541,97.107,-5.493,0.0,0.0,1.0,0.0,0.0
0.486,0.521,-0.648,-141.602,120.361,-3.784,0.0,0.0,0.0,0.0,0.0
0.547,0.526,-0.799,-130.615,125.244,-0.366,0.0,0.0,0.0,0.0,0.0
0.485,0.462,-0.913,-110.107,115.906,11.047,0.0,0.0,0.0,0.0,0.0
0.373,0.396,-1.043,-98.999,105.408,24.841,0.0,0.0,0.0,1.0,0.0
0.337,0.399,-1.073,-97.778,102.234,25.757,0.0,0.0,1.0,0.0,0.0
0.256,0.438,-1.103,-91.431,99.792,22.644,0.0,0.0,1.0,1.0,0.0
0.269,0.453,-1.093,-72.266,98.511,17.273,0.0,0.0,1.0,0.0,0.0
0.360,0.449,-0.984,-55.969,92.590,15.320,0.0,0.0,2.0,1.0,0.0
0.396,0.447,-0.905,-45.959,67.932,16.357,0.0,0.0,1.0,1.0,0.0
0.364,0.410,-0.833,-46.387,52.551,19.531,0.0,0.0,1.0,0.0,0.0
0.230,0.355,-0.877,-56.396,32.043,30.334,0.0,0.0,1.0,1.0,0.0
0.161,0.338,-0.903,-64.331,37.720,34.424,0.0,0.0,1.0,1.0,0.0
0.149,0.323,-0.911,-65.796,52.002,29.053,0.0,0.0,1.0,0.0,0.0
0.189,0.302,-0.908,-70.374,57.983,24.719,0.0,0.0,1.0,1.0,0.0
0.271,0.302,-0.871,-71.716,51.575,24.597,0.0,0.0,1.0,1.0,0.0
0.263,0.263,-0.860,-72.327,24.231,27.039,0.0,0.0,1.0,0.0,0.0
0.231,0.242,-0.863,-80.200,4.089,31.616,0.0,0.0,1.0,0.0,0.0
0.157,0.248,-0.910,-86.487,2.197,27.405,0.0,0.0,2.0,0.0,0.0
0.311,0.672,-1.336,-68.848,-1.892,15.991,0.0,0.0,1.0,0.0,0.0
0.159,-0.005,-1.616,49.927,-25.085,-1.221,0.0,0.0,1.0,1.0,0.0
0.276,-0.037,-1.415,16.907,-35.400,0.610,0.0,0.0,0.0,1.0,0.0
0.032,0.314,-1.289,-7.629,-35.217,1.709,0.0,0.0,1.0,0.0,0.0
0.021,0.276,-1.132,-7.568,-6.287,1.831,0.0,0.0,1.0,2.0,0.0
0.111,0.290,-0.978,-13.977,16.968,0.977,0.0,0.0,0.0,1.0,0.0
0.162,0.310,-0.926,-18.433,18.433,3.174,0.0,0.0,0.0,0.0,0.0
0.270,0.322,-0.873,-16.968,16.602,2.808,0.0,0.0,1.0,1.0,0.0
0.234,0.314,-0.956,-10.498,2.808,1.953,0.0,0.0,2.0,0.0,0.0
0.164,0.289,-1.011,0.183,-6.226,0.488,0.0,0.0,1.0,1.0,0.0
0.166,0.284,-1.003,4.822,-5.005,-1.587,0.0,0.0,1.0,1.0,0.0
0.176,0.294,-0.981,4.700,-6.226,-1.160,0.0,0.0,0.0,1.0,0.0
0.175,0.305,-0.972,3.723,-7.202,1.343,0.0,0.0,1.0,0.0,0.0
0.216,0.307,-0.948,2.502,-0.549,1.282,0.0,0.0,0.0,1.0,0.0
0.224,0.298,-0.945,0.854,3.052,0.061,0.0,0.0,1.0,0.0,1.0
0.200,0.294,-0.951,-0.244,2.747,-0.671,0.0,0.0,0.0,0.0,0.0
0.189,0.298,-0.926,-0.854,-1.038,-2.136,0.0,0.0,0.0,2.0,0.0
0.169,0.289,-0.928,-1.526,-7.080,-0.916,0.0,0.0,0.0,0.0,0.0
0.100,0.261,-0.989,-4.089,-1.648,0.854,0.0,0.0,0.0,1.0,0.0
0.152,0.265,-0.996,-4.944,4.700,0.732,0.0,0.0,1.0,1.0,0.0
0.184,0.260,-0.989,-6.226,10.254,-0.793,0.0,0.0,0.0,2.0,0.0
0.155,0.250,-1.011,-8.667,12.573,-0.977,0.0,0.0,1.0,0.0,0.0
0.115,0.230,-1.068,-11.169,22.095,0.427,0.0,0.0,1.0,0.0,0.0
0.180,0.264,-1.052,-10.559,24.719,0.610,0.0,0.0,0.0,0.0,0.0
0.251,0.331,-0.988,-0.977,13.672,-3.479,0.0,0.0,0.0,1.0,0.0
0.198,0.299,-1.023,20.081,-10.010,-9.155,0.0,0.0,1.0,0.0,0.0
0.176,0.266,-1.030,31.799,-22.583,-10.681,0.0,0.0,0.0,0.0,0.0
