aX,aY,aZ,gX,gY,gZ,Angle1,Angle2,Angle3,Angle4,Angle5
-1.138,0.781,0.153,2.075,-34.851,-7.629,0.0,0.0,0.0,1.0,24.0
-0.886,0.765,0.167,10.498,-16.174,-15.320,0.0,0.0,0.0,0.0,21.0
-0.710,0.769,0.223,9.644,-2.686,-16.907,0.0,0.0,1.0,0.0,21.0
-0.464,0.789,0.356,7.935,-10.376,-32.288,0.0,0.0,0.0,0.0,21.0
-0.286,0.849,0.396,18.188,-19.043,-49.133,0.0,0.0,0.0,0.0,21.0
-0.105,0.775,0.434,23.132,-13.611,-47.241,0.0,0.0,1.0,0.0,21.0
0.105,0.739,0.524,16.907,12.390,-18.982,0.0,0.0,1.0,0.0,20.0
0.171,0.756,0.552,0.854,24.536,15.198,0.0,0.0,0.0,0.0,21.0
0.059,0.834,0.551,-5.127,16.174,33.081,0.0,0.0,1.0,1.0,22.0
-0.218,0.836,0.516,-5.188,13.916,36.316,0.0,0.0,1.0,0.0,20.0
-0.414,0.809,0.494,-7.263,16.235,34.607,0.0,0.0,0.0,0.0,20.0
-0.471,0.798,0.482,-11.230,13.489,27.222,0.0,0.0,1.0,1.0,23.0
-0.573,0.772,0.456,-17.090,-12.634,15.015,0.0,0.0,1.0,0.0,20.0
-0.882,0.786,0.307,-15.991,-30.640,2.197,0.0,0.0,0.0,0.0,22.0
-0.824,0.759,0.239,-5.005,-30.029,-15.808,0.0,0.0,0.0,0.0,21.0
-0.545,0.745,0.318,-0.549,-6.287,-14.771,0.0,0.0,0.0,0.0,22.0
-0.462,0.749,0.359,-4.089,-2.808,-16.357,0.0,0.0,0.0,0.0,20.0
-0.397,0.797,0.388,-6.714,-6.409,-19.165,0.0,0.0,1.0,0.0,22.0
-0.400,0.821,0.384,-6.592,-10.376,-23.315,0.0,0.0,1.0,0.0,22.0
-0.375,0.814,0.432,-5.981,-4.211,-21.423,0.0,0.0,1.0,0.0,21.0
-0.361,0.820,0.462,-9.766,-3.601,-18.433,0.0,0.0,1.0,0.0,21.0
-0.367,0.833,0.494,-14.954,-12.024,-19.592,0.0,0.0,1.0,0.0,20.0
-0.418,0.828,0.472,-19.470,-15.991,-21.362,0.0,0.0,0.0,0.0,20.0
-0.452,0.843,0.417,-30.029,-19.836,-27.527,0.0,0.0,0.0,0.0,21.0
-0.479,0.870,0.376,-34.485,-20.569,-36.133,0.0,0.0,1.0,0.0,21.0
-0.479,0.856,0.375,-33.997,-18.921,-44.861,0.0,0.0,1.0,0.0,20.0
-0.452,0.809,0.376,-42.603,-19.836,-53.528,0.0,0.0,0.0,0.0,22.0
-0.448,0.822,0.359,-49.500,-19.836,-57.739,0.0,0.0,0.0,0.0,20.0
-0.452,0.879,0.319,-61.218,-13.550,-63.049,0.0,0.0,0.0,0.0,19.0
-0.351,0.929,0.298,-61.951,-3.479,-66.406,0.0,0.0,0.0,0.0,20.0
-0.301,0.932,0.289,-51.880,-6.653,-76.233,0.0,0.0,1.0,0.0,20.0
-0.275,0.893,0.259,-48.340,-16.174,-81.238,0.0,0.0,0.0,0.0,20.0
-0.276,0.888,0.239,-51.514,-18.188,-80.017,0.0,0.0,1.0,0.0,21.0
-0.308,0.935,0.228,-57.861,-13.428,-74.768,0.0,0.0,0.0,0.0,20.0
-0.275,0.914,0.249,-57.739,1.465,-67.810,0.0,0.0,0.0,0.0,20.0
-0.193,0.898,0.266,-63.843,7.996,-65.002,0.0,0.0,0.0,0.0,21.0
-0.178,0.914,0.249,-73.547,1.038,-72.021,0.0,0.0,0.0,0.0,21.0
-0.158,0.905,0.211,-76.233,-1.770,-76.538,0.0,0.0,1.0,0.0,21.0
-0.099,0.889,0.186,-84.961,-4.517,-82.825,0.0,0.0,0.0,0.0,21.0
-0.033,0.918,0.173,-95.764,-10.986,-84.229,0.0,0.0,2.0,0.0,21.0
-0.021,0.914,0.151,-102.051,-22.949,-87.158,0.0,0.0,0.0,0.0,21.0
-0.006,0.900,0.090,-106.506,-29.297,-98.877,0.0,0.0,0.0,0.0,22.0
0.008,0.892,0.017,-108.154,-29.663,-105.530,0.0,0.0,0.0,0.0,22.0
0.083,0.900,-0.080,-111.511,-25.269,-117.554,0.0,0.0,1.0,0.0,23.0
0.123,0.931,-0.121,-107.788,-22.339,-124.268,0.0,0.0,0.0,0.0,23.0
0.180,0.917,-0.165,-95.459,-19.287,-118.713,0.0,0.0,0.0,0.0,23.0
0.313,0.873,-0.223,-93.811,-19.287,-114.319,0.0,0.0,1.0,0.0,21.0
0.328,0.979,-0.322,-84.717,-23.560,-102.966,0.0,0.0,0.0,0.0,24.0
0.333,0.911,-0.361,-54.260,-16.968,-85.571,0.0,0.0,0.0,0.0,23.0
0.384,0.836,-0.348,-34.363,-7.874,-70.984,0.0,0.0,1.0,0.0,23.0
0.504,0.836,-0.347,-27.222,-17.700,-53.406,0.0,0.0,1.0,0.0,24.0
0.479,0.900,-0.393,-18.677,-23.254,-41.077,0.0,0.0,1.0,0.0,23.0
0.469,0.877,-0.356,2.136,-20.996,-19.287,0.0,0.0,0.0,0.0,24.0
0.472,0.865,-0.312,13.733,-16.602,-8.606,0.0,0.0,1.0,0.0,23.0
0.459,0.839,-0.249,15.381,-16.113,-6.470,0.0,0.0,0.0,0.0,25.0
0.437,0.871,-0.207,12.024,-13.794,-4.944,0.0,0.0,0.0,0.0,22.0
0.417,0.920,-0.178,8.850,-10.376,0.000,0.0,0.0,1.0,0.0,21.0
0.402,0.927,-0.165,8.423,-7.080,7.202,0.0,0.0,0.0,0.0,23.0
0.377,0.931,-0.134,7.141,-5.371,9.583,0.0,0.0,0.0,0.0,24.0
0.353,0.958,-0.116,1.099,-4.150,11.292,0.0,0.0,0.0,0.0,22.0
0.311,0.974,-0.130,-3.479,-4.883,10.620,0.0,0.0,1.0,0.0,23.0
0.291,0.978,-0.140,-4.883,-1.648,6.348,0.0,0.0,1.0,0.0,25.0
0.264,0.992,-0.164,-4.272,1.709,3.418,0.0,0.0,0.0,1.0,22.0
0.269,0.979,-0.173,-1.038,7.996,-0.549,0.0,0.0,0.0,0.0,23.0
0.283,0.941,-0.168,-1.282,9.460,-0.854,0.0,0.0,0.0,0.0,24.0
0.294,0.953,-0.167,-7.202,6.165,2.625,0.0,0.0,0.0,0.0,24.0
0.291,0.970,-0.182,-7.874,2.869,5.066,0.0,0.0,0.0,0.0,23.0
0.266,0.942,-0.201,-5.859,-1.587,6.836,0.0,0.0,0.0,0.0,24.0
0.254,0.932,-0.200,-5.493,-1.465,4.639,0.0,0.0,0.0,0.0,21.0
0.261,0.928,-0.196,-4.822,0.793,2.441,0.0,0.0,0.0,0.0,23.0

-1.027,0.756,0.278,-9.277,-27.588,-5.798,0.0,0.0,0.0,0.0,22.0
-0.837,0.736,0.299,0.854,-9.644,-17.395,0.0,0.0,0.0,0.0,22.0
-0.706,0.729,0.331,-2.686,-1.709,-19.409,0.0,0.0,1.0,0.0,23.0
-0.621,0.745,0.358,-12.939,-7.935,-30.640,0.0,0.0,1.0,0.0,23.0
-0.617,0.800,0.339,-15.198,-9.216,-38.818,0.0,0.0,0.0,0.0,21.0
-0.557,0.795,0.334,-14.160,-3.845,-50.964,0.0,0.0,0.0,0.0,22.0
-0.498,0.798,0.338,-17.456,1.770,-55.115,0.0,0.0,0.0,0.0,22.0
-0.390,0.854,0.327,-18.677,-4.211,-55.603,0.0,0.0,1.0,0.0,22.0
-0.375,0.893,0.289,-15.930,-8.362,-55.298,0.0,0.0,0.0,0.0,21.0
-0.345,0.860,0.292,-9.583,-12.268,-54.016,0.0,0.0,0.0,1.0,21.0
-0.324,0.854,0.302,-12.878,-14.282,-54.382,0.0,0.0,1.0,0.0,22.0
-0.325,0.860,0.312,-20.325,-14.404,-51.270,0.0,0.0,0.0,0.0,21.0
-0.363,0.860,0.311,-24.597,-13.245,-47.302,0.0,0.0,0.0,0.0,23.0
-0.284,0.903,0.319,-31.250,-6.287,-44.067,0.0,0.0,0.0,0.0,21.0
-0.229,0.940,0.276,-26.428,-12.939,-51.392,0.0,0.0,1.0,0.0,22.0
-0.257,0.927,0.248,-17.761,-20.569,-50.476,0.0,0.0,0.0,0.0,21.0
-0.292,0.864,0.242,-22.156,-15.869,-41.321,0.0,0.0,1.0,0.0,21.0
-0.302,0.860,0.283,-28.748,-13.550,-39.551,0.0,0.0,0.0,0.0,21.0
-0.334,0.911,0.282,-39.429,-13.855,-41.382,0.0,0.0,1.0,0.0,23.0
-0.334,0.936,0.267,-40.771,-15.137,-42.542,0.0,0.0,1.0,0.0,21.0
-0.299,0.945,0.219,-35.828,-16.052,-47.546,0.0,0.0,1.0,0.0,22.0
-0.277,0.932,0.182,-32.776,-15.015,-51.758,0.0,0.0,0.0,0.0,22.0
-0.219,0.933,0.175,-28.931,-12.268,-57.068,0.0,0.0,0.0,0.0,22.0
-0.179,0.915,0.170,-27.771,-15.076,-55.481,0.0,0.0,0.0,0.0,22.0
-0.173,0.908,0.164,-32.471,-17.578,-49.927,0.0,0.0,1.0,0.0,21.0
-0.160,0.925,0.151,-38.696,-14.099,-44.006,0.0,0.0,0.0,0.0,24.0
-0.087,0.974,0.147,-39.063,-13.794,-42.175,0.0,0.0,1.0,0.0,22.0
-0.101,0.988,0.130,-32.166,-20.386,-39.917,0.0,0.0,0.0,0.0,22.0
-0.123,0.973,0.120,-25.574,-21.362,-35.278,0.0,0.0,1.0,0.0,23.0
-0.137,0.945,0.125,-27.649,-16.296,-31.128,0.0,0.0,1.0,0.0,23.0
-0.107,0.938,0.150,-30.579,-15.259,-31.250,0.0,0.0,0.0,0.0,22.0
-0.108,0.967,0.138,-37.659,-20.325,-34.424,0.0,0.0,1.0,0.0,22.0
-0.141,1.002,0.092,-39.917,-26.550,-39.368,0.0,0.0,0.0,0.0,22.0
-0.151,1.002,0.072,-34.790,-23.621,-47.485,0.0,0.0,1.0,0.0,21.0
-0.135,0.980,0.053,-31.128,-15.686,-56.152,0.0,0.0,0.0,0.0,22.0
-0.073,0.952,0.045,-31.494,-13.184,-59.448,0.0,0.0,0.0,0.0,23.0
-0.018,0.953,0.037,-36.560,-15.991,-63.599,0.0,0.0,0.0,0.0,22.0
-0.027,0.971,0.027,-43.091,-22.766,-61.340,0.0,0.0,0.0,0.0,22.0
-0.047,1.010,0.001,-44.312,-21.606,-57.495,0.0,0.0,0.0,0.0,22.0
0.035,0.980,0.004,-40.649,-12.634,-49.133,0.0,0.0,1.0,0.0,23.0
0.074,0.963,-0.000,-39.551,-13.184,-46.814,0.0,0.0,1.0,0.0,24.0
0.095,0.972,-0.031,-38.208,-17.822,-45.532,0.0,0.0,1.0,0.0,22.0
0.098,0.970,-0.053,-36.682,-18.921,-43.091,0.0,0.0,1.0,0.0,25.0
0.089,0.966,-0.059,-34.058,-18.311,-38.147,0.0,0.0,0.0,0.0,22.0
0.089,0.964,-0.064,-30.396,-14.648,-36.804,0.0,0.0,1.0,0.0,24.0
0.106,0.955,-0.060,-27.039,-11.597,-38.330,0.0,0.0,1.0,0.0,22.0
0.141,0.936,-0.062,-26.428,-12.878,-39.124,0.0,0.0,1.0,0.0,24.0
0.140,0.923,-0.080,-27.405,-17.822,-40.222,0.0,0.0,0.0,0.0,23.0
