aX,aY,aZ,gX,gY,gZ,Angle1,Angle2,Angle3,Angle4,Angle5
0.691,-0.025,1.405,34.912,-30.884,-14.587,0.0,0.0,1.0,0.0,0.0
0.304,0.325,0.849,-25.208,-2.380,15.198,0.0,0.0,0.0,0.0,0.0
0.401,0.296,0.788,2.258,31.738,-0.488,0.0,0.0,2.0,0.0,0.0
0.505,0.127,0.794,-22.400,26.794,17.212,0.0,0.0,1.0,0.0,0.0
0.407,0.295,0.693,-39.551,29.663,25.330,0.0,0.0,1.0,0.0,0.0
0.486,0.469,0.586,-34.729,39.978,19.531,0.0,0.0,1.0,0.0,0.0
0.564,0.474,0.560,12.207,23.682,-3.967,0.0,0.0,1.0,0.0,0.0
0.613,0.391,0.594,55.969,-16.052,-28.564,0.0,0.0,0.0,0.0,0.0
0.536,0.173,0.730,69.275,-33.325,-37.170,0.0,0.0,1.0,0.0,0.0
0.689,-0.030,1.209,38.696,-44.067,-16.479,0.0,0.0,1.0,0.0,0.0
0.344,0.295,0.991,-29.236,-36.011,17.517,0.0,0.0,1.0,0.0,0.0
0.296,0.346,0.857,-6.592,8.728,6.897,0.0,0.0,1.0,0.0,0.0
0.442,0.218,0.817,3.784,33.997,15.259,0.0,0.0,0.0,0.0,0.0
0.500,0.196,0.784,-4.639,43.396,24.597,0.0,0.0,1.0,0.0,0.0
0.612,0.280,0.765,-19.043,52.002,29.968,0.0,0.0,1.0,0.0,0.0
0.632,0.340,0.734,-15.076,24.292,20.935,0.0,0.0,1.0,0.0,0.0
0.548,0.406,0.672,11.963,-17.273,4.517,0.0,0.0,1.0,0.0,0.0
0.389,0.374,0.694,29.480,-35.339,-7.629,0.0,0.0,1.0,0.0,0.0
0.214,0.206,0.795,53.528,-60.242,-33.936,0.0,0.0,1.0,0.0,0.0
0.244,0.072,0.958,26.733,-44.067,-20.813,0.0,0.0,1.0,0.0,0.0
0.294,0.162,1.152,-26.978,11.108,16.235,0.0,0.0,1.0,0.0,0.0
0.434,0.278,0.987,-22.644,38.513,6.775,0.0,0.0,1.0,0.0,0.0
0.675,0.179,1.046,-7.507,28.259,-20.447,0.0,0.0,1.0,0.0,0.0
0.397,0.224,0.898,-23.437,-28.076,-24.597,0.0,0.0,1.0,0.0,0.0
0.274,0.258,0.830,-29.480,-30.029,-26.062,0.0,0.0,0.0,0.0,0.0
0.257,0.284,0.797,-28.687,-16.418,-27.283,0.0,0.0,1.0,0.0,0.0
0.367,0.276,0.832,-26.001,3.052,-27.527,0.0,0.0,0.0,0.0,0.0
0.441,0.253,0.866,-26.733,4.883,-25.208,0.0,0.0,1.0,0.0,0.0
0.462,0.250,0.866,-29.968,-5.005,-28.320,0.0,0.0,1.0,0.0,0.0
0.462,0.253,0.845,-29.785,-12.207,-32.288,0.0,0.0,1.0,0.0,0.0
0.451,0.273,0.821,-25.330,-19.165,-39.978,0.0,0.0,1.0,0.0,0.0
