aX,aY,aZ,gX,gY,gZ,Angle1,Angle2,Angle3,Angle4,Angle5
1.282,-1.156,2.153,129.089,-45.837,-19.653,6.0,11.0,17.0,37.0,9.0
1.126,-0.246,0.944,-126.648,10.376,33.569,6.0,11.0,17.0,38.0,9.0
0.918,0.109,0.130,-100.220,-3.052,30.334,5.0,12.0,17.0,39.0,8.0
0.725,0.101,-0.145,-78.979,19.592,28.442,5.0,13.0,17.0,37.0,9.0
0.910,0.133,-0.117,-93.201,35.400,27.893,6.0,12.0,16.0,38.0,9.0
1.076,0.282,-0.397,-84.473,20.813,17.456,5.0,12.0,17.0,39.0,9.0
0.965,0.378,-0.704,-17.883,-24.475,-6.348,5.0,12.0,16.0,40.0,8.0
0.932,0.390,-0.707,76.233,-41.626,-31.555,5.0,11.0,17.0,39.0,7.0
0.976,0.239,-0.426,116.516,-44.006,-37.598,6.0,11.0,17.0,38.0,7.0
0.963,-0.108,0.186,139.343,-44.800,-24.719,5.0,12.0,16.0,38.0,6.0
1.100,-0.440,1.089,53.162,-19.653,7.996,5.0,11.0,16.0,38.0,7.0
1.218,-0.310,0.967,-53.467,-6.592,26.855,6.0,12.0,17.0,36.0,7.0
1.228,0.004,0.245,-51.758,-33.936,25.696,4.0,13.0,17.0,36.0,8.0
1.106,0.118,0.036,-47.180,-34.485,29.785,5.0,11.0,17.0,39.0,7.0
1.147,0.194,-0.017,-39.551,-5.249,44.189,5.0,11.0,17.0,39.0,7.0
1.206,0.211,-0.045,-19.714,14.099,52.551,5.0,11.0,16.0,37.0,8.0
1.188,0.219,-0.044,-3.113,5.066,56.519,5.0,12.0,16.0,38.0,7.0
1.069,0.270,-0.031,1.770,-2.991,57.800,5.0,11.0,17.0,36.0,7.0
0.904,0.328,-0.021,1.221,-14.526,59.753,6.0,11.0,17.0,37.0,7.0
0.755,0.341,0.016,-9.460,-16.479,54.749,5.0,12.0,17.0,34.0,8.0
0.702,0.320,0.055,-15.442,-15.503,41.077,6.0,13.0,16.0,37.0,7.0
0.644,0.252,0.131,-18.494,-18.738,24.902,5.0,12.0,16.0,36.0,6.0
0.603,0.237,0.162,-21.179,-21.790,16.357,5.0,12.0,16.0,35.0,7.0
0.638,0.233,0.122,-23.132,-25.269,-3.052,5.0,11.0,16.0,38.0,8.0
0.687,0.230,0.121,-16.785,-30.945,-24.292,5.0,11.0,16.0,36.0,7.0
0.768,0.159,0.134,-8.423,-45.227,-42.542,5.0,10.0,17.0,37.0,7.0
0.724,0.080,0.154,-5.554,-50.110,-46.631,5.0,11.0,16.0,36.0,6.0
0.654,-0.001,0.180,-5.554,-41.138,-48.401,4.0,11.0,17.0,39.0,7.0
0.653,-0.026,0.178,-12.207,-16.663,-54.138,5.0,11.0,16.0,37.0,6.0
0.641,-0.021,0.152,-13.733,1.587,-66.956,4.0,11.0,17.0,37.0,6.0
