aX,aY,aZ,gX,gY,gZ,Angle1,Angle2,Angle3,Angle4,Angle5
0.319,0.762,-1.107,-18.250,20.569,2.930,0.0,24.0,18.0,33.0,0.0
0.414,0.714,-1.084,26.978,-3.357,-16.663,0.0,24.0,19.0,32.0,0.0
0.480,0.693,-0.964,53.284,-26.489,-20.325,0.0,23.0,19.0,32.0,0.0
0.693,0.679,-0.538,58.289,-36.133,-17.944,0.0,24.0,21.0,33.0,0.0
0.879,0.526,0.286,46.021,-47.974,-4.761,0.0,24.0,21.0,34.0,0.0
0.819,0.781,0.369,-7.874,-27.588,19.165,0.0,25.0,19.0,33.0,0.0
0.730,0.874,0.049,-4.761,-12.024,7.080,0.0,23.0,19.0,31.0,0.0
0.665,0.577,-0.203,1.587,-10.620,3.052,0.0,23.0,18.0,32.0,0.0
0.453,0.548,-0.424,-27.527,-6.470,17.151,0.0,24.0,18.0,32.0,0.0
0.369,0.610,-0.578,-43.335,18.005,11.230,0.0,24.0,19.0,32.0,0.0
0.460,0.690,-0.725,-29.114,31.738,-3.967,0.0,23.0,19.0,32.0,0.0
0.603,0.719,-0.701,-19.958,23.071,-4.578,0.0,23.0,19.0,30.0,0.0
0.555,0.725,-0.676,-2.380,-13.245,-2.258,0.0,23.0,20.0,30.0,0.0
0.514,0.721,-0.649,11.536,-35.034,-2.441,1.0,23.0,19.0,29.0,0.0
0.473,0.718,-0.556,15.930,-35.461,-3.174,1.0,23.0,18.0,32.0,0.0
0.547,0.689,-0.417,18.982,-23.682,-5.249,1.0,22.0,19.0,32.0,0.0
0.599,0.689,-0.363,12.756,-12.085,-1.953,0.0,22.0,19.0,32.0,0.0
0.628,0.706,-0.321,10.071,-8.850,-0.305,1.0,22.0,19.0,31.0,0.0
0.612,0.688,-0.307,9.033,-3.052,-0.244,1.0,23.0,18.0,33.0,0.0
0.625,0.649,-0.296,6.897,2.075,-0.732,1.0,23.0,19.0,32.0,0.0
0.629,0.638,-0.306,-0.854,0.916,1.221,0.0,23.0,19.0,31.0,0.0
0.602,0.640,-0.357,-5.676,-0.610,2.869,0.0,22.0,18.0,33.0,0.0
